Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1982,Boston Celtics,63,19,.768,—,112.0,105.6,6.35,Y,N
1982,Philadelphia 76ers,58,24,.707,5.0,111.2,105.5,5.74,Y,N
1982,New Jersey Nets,44,38,.537,19.0,106.7,106.0,0.87,Y,N
1982,Washington Bullets,43,39,.524,20.0,103.5,102.6,1.06,Y,N
1982,New York Knicks,33,49,.402,30.0,106.2,108.9,-2.15,N,Y
1982,Milwaukee Bucks,55,27,.671,—,108.4,102.9,5.38,Y,N
1982,Atlanta Hawks,42,40,.512,13.0,101.0,100.5,0.81,Y,N
1982,Detroit Pistons,39,43,.476,16.0,111.1,112.0,-0.63,N,Y
1982,Indiana Pacers,35,47,.427,20.0,102.2,104.0,-1.49,N,Y
1982,Chicago Bulls,34,48,.415,21.0,106.6,108.6,-1.57,N,Y
1982,Cleveland Cavaliers,15,67,.183,40.0,103.2,111.7,-7.77,N,Y
1982,Midwest Division,48,34,.585,—,113.1,110.8,1.79,N,N
1982,San Antonio Spurs,46,36,.561,2.0,126.5,126.0,0.13,Y,N
1982,Denver Nuggets,46,36,.561,2.0,105.9,105.9,-0.39,Y,N
1982,Houston Rockets,30,52,.366,18.0,107.1,110.2,-3.25,Y,Y
1982,Kansas City Kings,28,54,.341,20.0,104.6,109.0,-4.48,N,Y
1982,Dallas Mavericks,25,57,.305,23.0,110.9,116.6,-5.63,N,Y
1982,Utah Jazz,57,25,.695,—,114.6,109.8,4.37,N,N
1982,Pacific Division,52,30,.634,5.0,107.3,103.1,3.69,N,N
1982,Los Angeles Lakers,46,36,.561,11.0,106.2,102.7,3.05,Y,N
1982,Seattle SuperSonics,45,37,.549,12.0,110.9,109.8,0.80,Y,N
1982,Phoenix Suns,42,40,.512,15.0,109.8,109.2,0.39,Y,N
1982,Golden State Warriors,17,65,.207,40.0,108.5,115.9,-7.05,N,Y
