Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2014,Toronto Raptors,48,34,.585,—,101.3,98.0,2.55,Y,N
2014,Brooklyn Nets,44,38,.537,4.0,98.5,99.5,-1.58,Y,N
2014,New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,N,Y
2014,Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,N,Y
2014,Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,N,Y
2014,Indiana Pacers,56,26,.683,—,96.7,92.3,3.63,Y,N
2014,Chicago Bulls,48,34,.585,8.0,93.7,91.8,1.20,Y,N
2014,Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,N,Y
2014,Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,N,Y
2014,Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,N,Y
2014,Miami Heat,54,28,.659,—,102.2,97.4,4.15,Y,N
2014,Washington Wizards,44,38,.537,10.0,100.7,99.4,0.48,Y,N
2014,Charlotte Bobcats,43,39,.524,11.0,96.9,97.1,-0.89,Y,N
2014,Atlanta Hawks,38,44,.463,16.0,101.0,101.5,-0.88,Y,Y
2014,Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,N,Y
2014,Oklahoma City Thunder,59,23,.720,—,106.2,99.8,6.66,Y,N
2014,Portland Trail Blazers,54,28,.659,5.0,106.7,102.8,4.44,Y,N
2014,Minnesota Timberwolves,40,42,.488,19.0,106.9,104.3,3.10,N,Y
2014,Denver Nuggets,36,46,.439,23.0,104.4,106.5,-1.40,N,Y
2014,Utah Jazz,25,57,.305,34.0,95.0,102.2,-6.27,N,Y
2014,Los Angeles Clippers,57,25,.695,—,107.9,101.0,7.27,Y,N
2014,Golden State Warriors,51,31,.622,6.0,104.3,99.5,5.15,Y,N
2014,Phoenix Suns,48,34,.585,9.0,105.2,102.6,3.02,N,N
2014,Sacramento Kings,28,54,.341,29.0,100.5,103.4,-2.08,N,Y
2014,Los Angeles Lakers,27,55,.329,30.0,103.0,109.2,-5.33,N,Y
2014,San Antonio Spurs,62,20,.756,—,105.4,97.6,8.00,Y,N
2014,Houston Rockets,54,28,.659,8.0,107.7,103.1,5.06,Y,N
2014,Memphis Grizzlies,50,32,.610,12.0,96.1,94.6,2.18,Y,N
2014,Dallas Mavericks,49,33,.598,13.0,104.8,102.4,2.91,Y,N
2014,New Orleans Pelicans,34,48,.415,28.0,99.7,102.4,-1.98,N,Y
