Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2011,Boston Celtics,56,26,.683,—,96.5,91.1,4.83,Y,N
2011,New York Knicks,42,40,.512,14.0,106.5,105.7,0.48,Y,N
2011,Philadelphia 76ers,41,41,.500,15.0,99.0,97.5,1.01,Y,N
2011,New Jersey Nets,24,58,.293,32.0,94.2,100.4,-6.28,N,Y
2011,Toronto Raptors,22,60,.268,34.0,99.1,105.4,-6.28,N,Y
2011,Chicago Bulls,62,20,.756,—,98.6,91.3,6.53,Y,N
2011,Indiana Pacers,37,45,.451,25.0,99.8,100.9,-1.38,Y,Y
2011,Milwaukee Bucks,35,47,.427,27.0,91.9,92.7,-1.02,N,Y
2011,Detroit Pistons,30,52,.366,32.0,97.0,100.6,-3.78,N,Y
2011,Cleveland Cavaliers,19,63,.232,43.0,95.5,104.5,-8.88,N,Y
2011,Miami Heat,58,24,.707,—,102.1,94.6,6.76,Y,N
2011,Orlando Magic,52,30,.634,6.0,99.2,93.7,4.92,Y,N
2011,Atlanta Hawks,44,38,.537,14.0,95.0,95.8,-1.10,Y,N
2011,Charlotte Bobcats,34,48,.415,24.0,93.3,97.3,-4.08,N,Y
2011,Washington Wizards,23,59,.280,35.0,97.3,104.7,-7.30,N,Y
2011,Oklahoma City Thunder,55,27,.671,—,104.8,101.0,3.81,Y,N
2011,Denver Nuggets,50,32,.610,5.0,107.5,102.7,4.81,Y,N
2011,Portland Trail Blazers,48,34,.585,7.0,96.3,94.8,1.85,Y,N
2011,Utah Jazz,39,43,.476,16.0,99.4,101.3,-1.44,N,Y
2011,Minnesota Timberwolves,17,65,.207,38.0,101.1,107.7,-5.97,N,Y
2011,Los Angeles Lakers,57,25,.695,—,101.5,95.4,6.01,Y,N
2011,Phoenix Suns,40,42,.488,17.0,105.0,105.9,-0.46,N,Y
2011,Golden State Warriors,36,46,.439,21.0,103.4,105.7,-2.00,N,Y
2011,Los Angeles Clippers,32,50,.390,25.0,98.6,101.8,-2.71,N,Y
2011,Sacramento Kings,24,58,.293,33.0,99.4,104.7,-4.80,N,Y
2011,San Antonio Spurs,61,21,.744,—,103.7,98.0,5.86,Y,N
2011,Dallas Mavericks,57,25,.695,4.0,100.2,96.0,4.41,Y,N
2011,New Orleans Hornets,46,36,.561,15.0,94.9,94.0,1.28,Y,N
2011,Memphis Grizzlies,46,36,.561,15.0,99.9,97.6,2.55,Y,N
2011,Houston Rockets,43,39,.524,18.0,105.9,103.7,2.37,N,N
