Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1990,Philadelphia 76ers,53,29,.646,—,110.2,105.2,4.23,Y,N
1990,Boston Celtics,52,30,.634,1.0,110.0,106.0,3.23,Y,N
1990,New York Knicks,45,37,.549,8.0,108.3,106.9,0.78,Y,N
1990,Washington Bullets,31,51,.378,22.0,107.7,109.9,-2.43,N,Y
1990,Miami Heat,18,64,.220,35.0,100.6,110.3,-9.59,N,Y
1990,New Jersey Nets,17,65,.207,36.0,100.1,108.0,-7.82,N,Y
1990,Detroit Pistons,59,23,.720,—,104.3,98.3,5.41,Y,N
1990,Chicago Bulls,55,27,.671,4.0,109.5,106.2,2.74,Y,N
1990,Milwaukee Bucks,44,38,.537,15.0,106.0,106.8,-1.06,Y,N
1990,Cleveland Cavaliers,42,40,.512,17.0,102.6,102.9,-0.62,Y,N
1990,Indiana Pacers,42,40,.512,17.0,109.3,109.1,-0.18,Y,N
1990,Atlanta Hawks,41,41,.500,18.0,108.5,107.5,0.64,N,N
1990,Orlando Magic,18,64,.220,41.0,110.9,119.8,-8.73,N,Y
1990,Midwest Division,56,26,.683,—,106.3,102.8,3.58,N,N
1990,San Antonio Spurs,55,27,.671,1.0,106.8,102.0,4.82,Y,N
1990,Utah Jazz,47,35,.573,9.0,102.2,102.2,0.42,Y,N
1990,Dallas Mavericks,43,39,.524,13.0,114.6,113.2,1.56,Y,N
1990,Denver Nuggets,41,41,.500,15.0,106.7,105.3,1.71,Y,N
1990,Houston Rockets,22,60,.268,34.0,95.2,99.4,-3.60,Y,Y
1990,Minnesota Timberwolves,19,63,.232,37.0,100.4,108.2,-7.00,N,Y
1990,Charlotte Hornets,63,19,.768,—,110.7,103.9,6.74,N,N
1990,Pacific Division,59,23,.720,4.0,114.2,107.9,6.48,N,N
1990,Los Angeles Lakers,54,28,.659,9.0,114.9,107.8,7.09,Y,N
1990,Portland Trail Blazers,41,41,.500,22.0,106.9,105.9,1.40,Y,N
1990,Phoenix Suns,37,45,.451,26.0,116.3,119.4,-2.55,Y,Y
1990,Seattle SuperSonics,30,52,.366,33.0,103.8,107.2,-2.80,N,Y
1990,Golden State Warriors,23,59,.280,40.0,101.7,106.8,-4.41,N,Y
