Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1996,Orlando Magic,60,22,.732,—,104.5,99.0,5.40,Y,N
1996,New York Knicks,47,35,.573,13.0,97.2,94.9,2.24,Y,N
1996,Miami Heat,42,40,.512,18.0,96.5,95.0,1.46,Y,N
1996,Washington Bullets,39,43,.476,21.0,102.5,101.5,0.99,N,Y
1996,Boston Celtics,33,49,.402,27.0,103.6,107.0,-3.37,N,Y
1996,New Jersey Nets,30,52,.366,30.0,93.7,97.9,-4.14,N,Y
1996,Philadelphia 76ers,18,64,.220,42.0,94.5,104.5,-9.45,N,Y
1996,Chicago Bulls,72,10,.878,—,105.2,92.9,11.80,Y,N
1996,Indiana Pacers,52,30,.634,20.0,99.3,96.1,3.11,Y,N
1996,Cleveland Cavaliers,47,35,.573,25.0,91.1,88.5,2.49,Y,N
1996,Atlanta Hawks,46,36,.561,26.0,98.3,97.1,1.29,Y,N
1996,Detroit Pistons,46,36,.561,26.0,95.4,92.9,2.45,Y,N
1996,Charlotte Hornets,41,41,.500,31.0,102.8,103.4,-0.48,N,N
1996,Milwaukee Bucks,25,57,.305,47.0,95.6,100.9,-4.92,N,Y
1996,Toronto Raptors,21,61,.256,51.0,97.5,105.0,-7.20,N,Y
1996,Midwest Division,59,23,.720,—,103.4,97.1,5.98,N,N
1996,San Antonio Spurs,55,27,.671,4.0,102.5,95.9,6.25,Y,N
1996,Utah Jazz,48,34,.585,11.0,102.5,100.7,1.63,Y,N
1996,Houston Rockets,35,47,.427,24.0,97.7,100.4,-2.62,Y,Y
1996,Denver Nuggets,26,56,.317,33.0,97.9,103.2,-5.14,N,Y
1996,Minnesota Timberwolves,26,56,.317,33.0,102.5,107.5,-4.71,N,Y
1996,Dallas Mavericks,15,67,.183,44.0,89.8,99.8,-9.55,N,Y
1996,Vancouver Grizzlies,64,18,.780,—,104.5,96.7,7.40,N,N
1996,Pacific Division,53,29,.646,11.0,102.9,98.5,4.21,N,N
1996,Seattle SuperSonics,44,38,.537,20.0,99.3,97.0,2.21,Y,N
1996,Los Angeles Lakers,41,41,.500,23.0,104.3,104.0,0.28,Y,N
1996,Portland Trail Blazers,39,43,.476,25.0,99.5,102.3,-2.62,Y,Y
1996,Phoenix Suns,36,46,.439,28.0,101.6,103.1,-1.42,Y,Y
1996,Sacramento Kings,29,53,.354,35.0,99.4,103.0,-3.46,Y,Y
