Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2010,Boston Celtics,50,32,.610,—,99.2,95.6,3.37,Y,N
2010,Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83,N,Y
2010,New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01,N,Y
2010,Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,-3.93,N,Y
2010,New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93,N,Y
2010,Cleveland Cavaliers,61,21,.744,—,102.1,95.6,6.17,Y,N
2010,Milwaukee Bucks,46,36,.561,15.0,97.7,96.0,1.37,Y,N
2010,Chicago Bulls,41,41,.500,20.0,97.5,99.1,-1.64,Y,N
2010,Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11,N,Y
2010,Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02,N,Y
2010,Orlando Magic,59,23,.720,—,102.8,95.3,7.12,Y,N
2010,Atlanta Hawks,53,29,.646,6.0,101.7,97.0,4.44,Y,N
2010,Miami Heat,47,35,.573,12.0,96.5,94.2,1.99,Y,N
2010,Charlotte Bobcats,44,38,.537,15.0,95.3,93.8,1.30,Y,N
2010,Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72,N,Y
2010,Denver Nuggets,53,29,.646,—,106.5,102.4,4.15,Y,N
2010,Utah Jazz,53,29,.646,—,104.2,98.9,5.33,Y,N
2010,Portland Trail Blazers,50,32,.610,3.0,98.1,94.8,3.18,Y,N
2010,Oklahoma City Thunder,50,32,.610,3.0,101.5,98.0,3.55,Y,N
2010,Minnesota Timberwolves,15,67,.183,38.0,98.2,107.8,-9.06,N,Y
2010,Los Angeles Lakers,57,25,.695,—,101.7,97.0,4.78,Y,N
2010,Phoenix Suns,54,28,.659,3.0,110.2,105.3,4.67,Y,N
2010,Los Angeles Clippers,29,53,.354,28.0,95.7,102.1,-6.01,N,Y
2010,Golden State Warriors,26,56,.317,31.0,108.8,112.4,-3.28,N,Y
2010,Sacramento Kings,25,57,.305,32.0,100.0,104.4,-4.06,N,Y
2010,Dallas Mavericks,55,27,.671,—,102.0,99.3,2.66,Y,N
2010,San Antonio Spurs,50,32,.610,5.0,101.4,96.3,5.07,Y,N
2010,Houston Rockets,42,40,.512,13.0,102.4,102.7,-0.02,N,N
2010,Memphis Grizzlies,40,42,.488,15.0,102.5,104.0,-1.39,N,Y
2010,New Orleans Hornets,37,45,.451,18.0,100.2,102.7,-2.27,N,Y
