Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1997,Miami Heat,61,21,.744,—,94.8,89.3,5.56,Y,N
1997,New York Knicks,57,25,.695,4.0,95.4,92.2,3.31,Y,N
1997,Orlando Magic,45,37,.549,16.0,94.1,94.5,-0.07,Y,N
1997,Washington Bullets,44,38,.537,17.0,99.4,97.7,1.77,Y,N
1997,New Jersey Nets,26,56,.317,35.0,97.2,101.8,-3.89,N,Y
1997,Philadelphia 76ers,22,60,.268,39.0,100.2,106.7,-5.89,N,Y
1997,Boston Celtics,15,67,.183,46.0,100.6,107.9,-6.62,N,Y
1997,Chicago Bulls,69,13,.841,—,103.1,92.3,10.70,Y,N
1997,Atlanta Hawks,56,26,.683,13.0,94.8,89.4,5.52,Y,N
1997,Detroit Pistons,54,28,.659,15.0,94.2,88.9,5.45,Y,N
1997,Charlotte Hornets,54,28,.659,15.0,98.9,97.0,2.13,Y,N
1997,Cleveland Cavaliers,42,40,.512,27.0,87.5,85.6,2.32,N,N
1997,Indiana Pacers,39,43,.476,30.0,95.4,94.4,1.49,N,Y
1997,Milwaukee Bucks,33,49,.402,36.0,95.3,97.2,-1.38,N,Y
1997,Toronto Raptors,30,52,.366,39.0,95.5,98.6,-2.56,N,Y
1997,Midwest Division,64,18,.780,—,103.1,94.3,7.97,N,N
1997,Utah Jazz,57,25,.695,7.0,100.6,96.1,3.85,Y,N
1997,Houston Rockets,40,42,.488,24.0,96.1,97.6,-1.82,Y,Y
1997,Minnesota Timberwolves,24,58,.293,40.0,90.6,97.0,-6.47,Y,Y
1997,Dallas Mavericks,21,61,.256,43.0,97.8,104.1,-6.40,N,Y
1997,Denver Nuggets,20,62,.244,44.0,90.5,98.3,-7.93,N,Y
1997,San Antonio Spurs,14,68,.171,50.0,89.2,99.4,-10.17,N,Y
1997,Vancouver Grizzlies,57,25,.695,—,100.9,93.2,6.91,N,N
1997,Pacific Division,56,26,.683,1.0,100.0,95.7,3.66,N,N
1997,Seattle SuperSonics,49,33,.598,8.0,99.0,94.8,3.56,Y,N
1997,Los Angeles Lakers,40,42,.488,17.0,102.8,102.2,0.21,Y,Y
1997,Portland Trail Blazers,36,46,.439,21.0,97.2,99.5,-2.66,Y,Y
1997,Phoenix Suns,34,48,.415,23.0,96.4,99.8,-3.64,Y,Y
1997,Los Angeles Clippers,30,52,.366,27.0,99.6,104.4,-4.90,Y,Y
