Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,SG,28.0,14.0,204.0,27.0,58.0,0.466,0.0,1.0,0.0,27.0,57.0,0.474,0.466,3.0,6.0,0.5,14.0,26.0,40.0,21.0,6.0,3.0,7.0,26.0,57.0
Shareef Abdur-Rahim,PF,26.0,81.0,3087.0,566.0,1183.0,0.478,21.0,60.0,0.35,545.0,1123.0,0.485,0.487,455.0,541.0,0.841,175.0,502.0,677.0,242.0,87.0,38.0,212.0,240.0,1608.0
Courtney Alexander,PG,25.0,66.0,1360.0,193.0,505.0,0.382,19.0,57.0,0.333,174.0,448.0,0.388,0.401,118.0,146.0,0.808,39.0,79.0,118.0,79.0,31.0,6.0,68.0,125.0,523.0
Malik Allen,PF,24.0,80.0,2318.0,335.0,790.0,0.424,0.0,4.0,0.0,335.0,786.0,0.426,0.424,97.0,121.0,0.802,134.0,291.0,425.0,54.0,37.0,78.0,128.0,234.0,767.0
Ray Allen,SG,27.0,76.0,2880.0,598.0,1363.0,0.439,201.0,533.0,0.377,397.0,830.0,0.478,0.512,316.0,345.0,0.916,94.0,287.0,381.0,334.0,103.0,14.0,198.0,220.0,1713.0
Rafer Alston,PG,26.0,47.0,980.0,139.0,335.0,0.415,51.0,130.0,0.392,88.0,205.0,0.429,0.491,37.0,54.0,0.685,21.0,86.0,107.0,192.0,38.0,15.0,86.0,120.0,366.0
John Amaechi,C,32.0,50.0,474.0,37.0,118.0,0.314,0.0,0.0,0.0,37.0,118.0,0.314,0.314,25.0,52.0,0.481,26.0,51.0,77.0,21.0,14.0,7.0,34.0,50.0,99.0
Chris Andersen,C,24.0,59.0,907.0,114.0,285.0,0.4,0.0,1.0,0.0,114.0,284.0,0.401,0.4,77.0,140.0,0.55,109.0,165.0,274.0,32.0,30.0,60.0,60.0,90.0,305.0
Derek Anderson,PG,28.0,76.0,2556.0,355.0,832.0,0.427,116.0,331.0,0.35,239.0,501.0,0.477,0.496,231.0,269.0,0.859,53.0,211.0,264.0,325.0,90.0,16.0,128.0,141.0,1057.0
Kenny Anderson,PG,32.0,61.0,1135.0,163.0,382.0,0.427,1.0,7.0,0.143,162.0,375.0,0.432,0.428,45.0,57.0,0.789,31.0,101.0,132.0,198.0,58.0,5.0,75.0,106.0,372.0
