Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Precious Achiuwa,PF,21,MIA,48,595,14.7,.570,.000,.525,11.3,20.2,15.9,6.7,1.2,4.2,14.7,19.5,,0.3,0.9,1.2,.096,,-3.0,-0.4,-3.4,-0.2
Jaylen Adams,PG,24,MIL,7,18,-6.6,.125,.250,.000,0.0,16.9,8.8,12.8,0.0,0.0,0.0,18.7,,-0.1,0.0,-0.1,-0.250,,-14.9,-5.0,-19.8,-0.1
Steven Adams,C,27,NOP,46,1293,15.6,.600,.012,.426,15.8,19.5,17.7,9.2,1.7,2.2,18.5,12.3,,2.0,1.0,3.0,.112,,-0.2,-0.8,-1.0,0.3
Bam Adebayo,C,23,MIA,45,1513,23.2,.626,.014,.443,8.2,23.2,15.9,27.8,1.3,3.6,14.6,24.0,,4.1,2.4,6.6,.208,,3.3,2.0,5.3,2.8
LaMarcus Aldridge,C,35,TOT,24,629,15.0,.541,.283,.149,3.0,16.2,9.5,10.8,0.8,3.3,7.3,22.0,,0.3,0.6,0.9,.072,,-0.5,-0.5,-1.0,0.2
LaMarcus Aldridge,C,35,SAS,21,544,15.2,.545,.302,.149,3.2,15.4,9.2,10.3,0.7,2.9,7.0,22.8,,0.3,0.5,0.8,.070,,-0.2,-1.0,-1.2,0.1
LaMarcus Aldridge,F-C,35,BRK,3,85,14.1,.504,.107,.143,1.4,21.4,11.9,14.1,1.7,6.2,9.2,16.8,,0.0,0.1,0.2,.087,,-2.8,2.7,-0.1,0.0
Ty-Shon Alexander,SG,22,PHO,5,15,1.6,.340,.600,.400,0.0,14.5,7.5,8.1,0.0,0.0,0.0,17.5,,0.0,0.0,0.0,-0.060,,-8.2,-4.2,-12.4,0.0
Nickeil Alexander-Walker,SG,22,NOP,41,851,12.6,.524,.495,.138,1.3,15.0,8.2,13.7,2.3,2.4,12.4,22.9,,-0.2,0.7,0.6,.032,,-1.6,-0.1,-1.7,0.1
Grayson Allen,SG,25,MEM,35,849,13.3,.594,.675,.193,1.7,12.8,7.1,11.5,2.0,0.8,10.0,16.4,,1.0,0.9,2.0,.112,,0.0,0.4,0.4,0.5
Jarrett Allen,C,22,TOT,44,1262,21.8,.676,.036,.655,11.8,26.9,19.3,9.0,0.8,5.2,13.3,16.9,,3.5,1.6,5.1,.195,,2.2,0.1,2.3,1.4
Jarrett Allen,C,22,BRK,12,320,21.6,.730,.000,.938,13.9,29.1,21.9,8.3,1.1,5.2,19.3,15.5,,1.0,0.5,1.4,.217,,1.3,0.6,1.9,0.3
Jarrett Allen,C,22,CLE,32,942,21.9,.662,.045,.585,11.1,26.1,18.4,9.2,0.7,5.3,11.4,17.4,,2.5,1.2,3.7,.187,,2.5,-0.1,2.4,1.0
Al-Farouq Aminu,PF,30,TOT,18,379,9.6,.483,.356,.211,5.3,21.6,13.2,10.9,2.2,2.2,21.5,14.3,,-0.4,0.5,0.2,.019,,-4.8,1.1,-3.7,-0.2
Al-Farouq Aminu,PF,30,ORL,17,367,10.0,.482,.348,.191,5.5,20.8,12.9,11.2,2.3,2.3,20.6,14.3,,-0.3,0.5,0.2,.024,,-4.4,1.2,-3.3,-0.1
Al-Farouq Aminu,PF,30,CHI,1,12,-2.7,.532,1.000,2.000,0.0,45.5,23.2,0.0,0.0,0.0,51.5,13.9,,0.0,0.0,0.0,-0.132,,-15.6,-0.7,-16.4,0.0
Kyle Anderson,PF,27,MEM,46,1245,17.1,.579,.388,.269,2.8,20.7,11.5,17.6,2.0,2.6,11.1,18.9,,1.7,1.9,3.6,.137,,1.3,1.5,2.8,1.5
Giannis Antetokounmpo,PF,26,MIL,45,1529,29.0,.631,.204,.539,5.7,28.7,17.7,29.3,1.6,3.5,14.1,32.8,,5.1,2.6,7.7,.242,,6.0,2.5,8.5,4.1
Kostas Antetokounmpo,PF,23,LAL,10,36,-0.9,.393,.000,1.200,6.3,30.2,18.5,0.0,2.7,7.4,51.2,18.9,,-0.2,0.1,-0.1,-0.188,,-13.5,1.7,-11.9,-0.1
Thanasis Antetokounmpo,SF,28,MIL,38,383,12.6,.608,.211,.305,10.3,14.1,12.3,9.7,1.7,1.6,21.2,15.0,,0.3,0.4,0.8,.096,,-2.2,0.0,-2.2,0.0
Carmelo Anthony,PF,36,POR,49,1251,14.1,.529,.392,.213,2.1,12.0,6.9,9.9,1.5,2.3,7.2,23.3,,0.9,0.5,1.4,.054,,-0.7,-1.7,-2.4,-0.1
Cole Anthony,PG,20,ORL,25,667,10.3,.469,.309,.204,3.0,14.7,8.7,21.7,1.2,1.5,14.8,22.3,,-0.7,0.6,-0.1,-0.009,,-3.0,-1.1,-4.1,-0.4
OG Anunoby,SF,23,TOR,33,1081,14.9,.603,.514,.210,4.6,15.1,9.7,8.8,2.4,2.4,12.5,18.2,,1.0,1.3,2.3,.101,,0.3,0.5,0.8,0.8
Ryan Arcidiacono,PG,26,CHI,31,333,8.7,.500,.586,.184,1.0,14.4,7.8,16.1,1.0,0.0,6.9,13.0,,0.3,0.3,0.5,.074,,-3.4,-0.1,-3.5,-0.1
Trevor Ariza,SF,35,MIA,10,247,7.5,.431,.571,.214,2.3,15.3,9.1,9.2,1.2,3.0,6.1,14.8,,-0.2,0.3,0.1,.026,,-4.5,-0.1,-4.7,-0.2
